"","line","content"
"51",51,"	with warm humorous eyes and a compelling smile. He is blotting "
"52",52,"	his neck and face with a thin towel, and is staring down at "
"53",53,"	Mary, a small sweet smile playing about his mouth. Mary keeps "
"54",54,"	her face turned away from him."
"55",55,"	After a moment, Sam drops the towel, sits on the bed, leans "
"56",56,"	over and takes Mary into his arms, kisses her long and warmly, "
"57",57,"	holds her with a firm possessiveness. The kiss is disturbed "
"58",58,"	and finally interrupted by the buzzing closeness of an "
"59",59,"	inconsiderate fly. Sam smiles, pulls away enough to allow "
"60",60,"	Mary to relax again against the pillow. He studies her, frowns "
"61",61,"	at her unresponsiveness, then speaks in a low, intimate, "
"62",62,"	playful voice."
"63",63,"				SAM"
"64",64,"		Never did eat your lunch, did you."
"65",65,"	Mary looks at his smile, has to respond, pulls him to her, "
"66",66,"	kisses him. Then, and without breaking the kiss, she swings "
"67",67,"	her legs over the side of the bed, toe-searches around, finds "
"68",68,"	her shoes, slips her feet into searches them. And finally "
"69",69,"	pulls away and sits up."
"70",70,"				MARY"
"71",71,"		I better get back to the office.  "
"72",72,"		These extended lunch hours give my "
"73",73,"		boss excess acid."
"74",74,"	She rises, goes to the bureau, takes a pair of small earrings "
"75",75,"	out of her bag, begins putting them on, not bothering or "
"76",76,"	perhaps not wanting to look at herself in the mirror. Sam "
"77",77,"	watches her, concerned but unable to inhibit his cheery, "
"78",78,"	humorous good mood. Throughout remainder of this scene, they "
"79",79,"	occupy themselves with dressing, hair-combing, etc."
"80",80,"				SAM"
"81",81,"		Call your boss and tell him you're "
"82",82,"		taking the rest of the afternoon "
"83",83,"		off. It's Friday anyway... and hot."
"84",84,"				MARY"
"85",85,"			(soft sarcasm)"
"86",86,"		What do I do with my free afternoon, "
"87",87,"		walk you to the airport?"
"88",88,"				SAM"
"89",89,"			(meaningfully)"
"90",90,"		We could laze around here a while "
"91",91,"		longer."
"92",92,"				MARY"
"93",93,"		Checking out time is three P.M. Hotels "
"94",94,"		of this sort aren't interested in "
"95",95,"		you when you come in, but when your "
"96",96,"		time's up..."
"97",97,"			(a small anguish)"
"98",98,"		Sam, I hate having to be with you in "
"99",99,"		a place like this."
"100",100,"				SAM"
"101",101,"		I've heard of married couples who "
"102",102,"		deliberately spend occasional nights "
"103",103,"		in cheap hotels. They say it..."
"104",104,"				MARY"
"105",105,"			(interrupting)"
"106",106,"		When you're married you can do a lot "
"107",107,"		of things deliberately."
"108",108,"				SAM"
"109",109,"		You sure talk like a girl who's been "
"110",110,"		married."
"111",111,"				MARY"
"112",112,"		Sam!"
"113",113,"				SAM"
"114",114,"		I'm sorry, Mary."
"115",115,"			(after a moment)"
"116",116,"		My old Dad used to say 'when you "
"117",117,"		can't change a situation, laugh at "
"118",118,"		it.' Nothing ridicules a thing like "
"119",119,"		laughing at it."
"120",120,"				MARY"
"121",121,"		I've lost my girlish laughter."
"122",122,"				SAM"
"123",123,"			(observing)"
"124",124,"		The only girlish thing you have lost."
"125",125,"				MARY"
"126",126,"			(a meaningful quiet, "
"127",127,"			then, with difficulty:)"
"128",128,"		Sam. This is the last time."
"129",129,"				SAM"
"130",130,"		For what?"
"131",131,"				MARY"
"132",132,"		This! Meeting you in secret so we "
"133",133,"		can be... secretive! You come down "
"134",134,"		here on business trips and we steal "
"135",135,"		lunch hours and... I wish you wouldn't "
"136",136,"		even come."
"137",137,"				SAM"
"138",138,"		Okay. What do we do instead, write "
"139",139,"		each other lurid love letters?"
"140",140,"				MARY"
"141",141,"			(about to argue, then "
"142",142,"			turning away)"
"143",143,"		I haven't time to argue. I'm a working "
"144",144,"		girl."
"145",145,"				SAM"
"146",146,"		And I'm a working man! We're a regular "
"147",147,"		working-class tragedy!"
"148",148,"			(he laughs)"
"149",149,"				MARY"
"150",150,"		It is tragic! Or it will be... if we "
"151",151,"		go on meeting in shabby hotels "
"152",152,"		whenever you can find a tax-deductible "
"153",153,"		excuse for flying down deductible "
"154",154,"		here..."
"155",155,"				SAM"
"156",156,"			(interrupting, "
"157",157,"			seriously)"
"158",158,"		You can't laugh at it, huh?"
"159",159,"				MARY"
"160",160,"		Can you?"
"161",161,"				SAM"
"162",162,"		Sure. It's like laughing through a "
"163",163,"		broken jaw, but..."
"164",164,"	He breaks off, his cheeriness dissolved, goes to the window, "
"165",165,"	tries to raise the shade. It sticks. He pulls at it."
"166",166,"	It comes down entirely, and the hot sun glares into the room, "
"167",167,"	revealing it in all its shabbiness and sordidness as if "
"168",168,"	corroborating Mary's words and attitude. Sam kicks at the "
"169",169,"	fallen shade, laughs in frustration, grabs on to his humor "
"170",170,"	again."
"171",171,"				SAM"
"172",172,"		And besides, when you say I make tax-"
"173",173,"		deductible excuses you make me out a "
"174",174,"		criminal."
"175",175,"				MARY"
"176",176,"			(having to smile)"
"177",177,"		You couldn't be a criminal if you "
"178",178,"		committed a major crime."
"179",179,"				SAM"
"180",180,"		I wish I were. Not an active criminal "
"181",181,"		but... a nice guy with the conscience "
"182",182,"		of a criminal."
"183",183,"			(goes close to mary, "
"184",184,"			touches her)"
"185",185,"		Next best thing to no conscience at "
"186",186,"		all."
"187",187,"				MARY"
"188",188,"			(pulling away)"
"189",189,"		I have to go, Sam."
"190",190,"				SAM"
"191",191,"		I can come down next week."
"192",192,"				MARY"
"193",193,"		No."
"194",194,"				SAM"
"195",195,"		Not even just to see you, to have "
"196",196,"		lunch... in public?"
"197",197,"				MARY"
"198",198,"		We can see each other, we can even "
"199",199,"		have dinner... but respectably, in "
"200",200,"		my house with my mother's picture on "
"201",201,"		the mantel and my sister helping me "
"202",202,"		broil a big steak for three!"
"203",203,"				SAM"
"204",204,"		And after the steak... do we send "
"205",205,"		Sister to the movies and turn Mama's "
"206",206,"		picture to the wall?"
"207",207,"				MARY"
"208",208,"		Sam! No!"
"209",209,"				SAM"
"210",210,"			(after a pause, simply)"
"211",211,"		All right."
"212",212,"	She stares at him, surprised at his willingness to continue "
"213",213,"	the affair on her terms, as girls are so often surprised "
"214",214,"	when they discover men will continue to want them even after "
"215",215,"	the sexual bait has been pulled in. Sam smiles reassuringly, "
"216",216,"	places his hands gently on her arms, speaks with gentle and "
"217",217,"	simple sincerity."
"218",218,"				SAM"
"219",219,"		Mary, whenever it's possible, tax-"
"220",220,"		deductible or not, I want to see "
"221",221,"		deductible you. And under any "
"222",222,"		conditions."
"223",223,"			(a smile)"
"224",224,"		Even respectability."
"225",225,"				MARY"
"226",226,"		You make respectability sound...  "
"227",227,"		disrespectful."
"228",228,"				SAM"
"229",229,"			(brightly)"
"230",230,"		I'm all for it! It requires patience "
"231",231,"		and temperance and a lot of sweating-"
"232",232,"		out... otherwise, though, it's only "
"233",233,"		hard work."
"234",234,"			(a pause)"
"235",235,"		But if I can see you, touch you even "
"236",236,"		as simply as this... I won't mind."
"237",237,"	He moves away and again the weight of his pain and problems "
"238",238,"	crushes away his good humor. There is a quiet moment."
"239",239,"				SAM"
"240",240,"		I'm fed up with sweating for people "
"241",241,"		who aren't there. I sweat to pay off "
"242",242,"		my father's debts... and he's in his "
"243",243,"		grave... I sweat to pay my ex-wife "
"244",244,"		alimony, and she's living on the "
"245",245,"		other side of the world somewhere."
"246",246,"				MARY"
"247",247,"			(a smile)"
"248",248,"		I pay, too. They also pay who meet "
"249",249,"		in hotel rooms."
"250",250,"				SAM"
"251",251,"		A couple of years and the debts will "
"252",252,"		be paid off. And if she ever re-"
"253",253,"		marries, the alimony stops... and "
"254",254,"		then..."
"255",255,"				MARY"
"256",256,"		I haven't even been married once "
"257",257,"		yet!"
"258",258,"				SAM"
"259",259,"		Yeah, but when you do... you'll swing."
"260",260,"				MARY"
"261",261,"			(smiling, then with a "
"262",262,"			terrible urgency)"
"263",263,"		Sam, let's go get married."
"264",264,"				SAM"
"265",265,"		And live with me in a storeroom behind "
"266",266,"		a hardware store in Fairvale. We'll "
"267",267,"		have a lot of laughs. When I send my "
"268",268,"		ex-wife her money, you can lick the "
"269",269,"		stamps."
"270",270,"				MARY"
"271",271,"			(a deep desperation)"
"272",272,"		I'll lick the stamps."
"273",273,"	He looks at her, long, pulls her close, kisses her lightly, "
"274",274,"	looks out the window and stares at the wide sky."
"275",275,"				SAM"
"276",276,"		You know what I'd like? A clear, "
"277",277,"		empty sky... and a plane, and us in "
"278",278,"		it... and somewhere a private island "
"279",279,"		for sale, where we can run around "
"280",280,"		without our... shoes on.  And the "
"281",281,"		wherewithal to buy what I'd like."
"282",282,"			(he moves away, "
"283",283,"			suddenly serious)"
"284",284,"		Mary, you want to cut this off, go "
"285",285,"		out and find yourself someone "
"286",286,"		available."
"287",287,"				MARY"
"288",288,"		I'm thinking of it."
"289",289,"				SAM"
"290",290,"			(a cheerful shout)"
"291",291,"		How can you even think a thing like "
"292",292,"		that!"
"293",293,"				MARY"
"294",294,"			(picking up handbag, "
"295",295,"			starting for door)"
"296",296,"		Don't miss your plane."
"297",297,"				SAM"
"298",298,"		Hey, we can leave together can't we?"
"299",299,"				MARY"
"300",300,"			(at door)"
"301",301,"		I'm late... and you have to put your "
"302",302,"		shoes on."
"303",303,"	Mary goes out quickly, closing door behind her. As Sam stares "
"304",304,"	down at his shoeless feet,"
"305",305,"							 "
"306",306,"	"
"307",307," DOWNTOWN STREET - (DAY) - HIGH ANGLE"
"308",308,"	Shooting down at hotel entrance. Mary comes out, walks quickly "
"309",309,"	to a parked cab, gets in. The cab zooms up the awful street."
"310",310,"						 DISSOLVE TO:"
"311",311,"	"
"312",312," LOWERY REAL ESTATE OFFICE - (DAY)"
"313",313,"	A small, moderately successful office off the main street. A "
"314",314,"	cab pulls up at the curb. We see Mary get out of cab, pay "
"315",315,"	driver, cross pavement to the office door."
"316",316,"	"
"317",317," OUTER OFFICE - (DAY)"
"318",318,"	Mary enters office, crosses to her desk, sits down, rubs her "
"319",319,"	temples, finally looks over at Caroline, a girl in the last "
"320",320,"	of her teens."
"321",321,"				MARY"
"322",322,"		Isn't Mr. Lowery back from lunch?"
"323",323,"				CAROLINE"
"324",324,"			(a high, bright, eager-"
"325",325,"			to-talk voice laced "
"326",326,"			to-with a vague Texan "
"327",327,"			accent)"
"328",328,"		He's lunching with the man who's "
"329",329,"		buying the Harris Street property, "
"330",330,"		you know, that oil lease man...  so "
"331",331,"		that's why he's late."
"332",332,"			(a pause, then, as "
"333",333,"			Mary does not respond "
"334",334,"			to the pointed thrust)"
"335",335,"		You getting a headache?"
"336",336,"				MARY"
"337",337,"		It'll pass. Headaches are like "
"338",338,"		resolutions... you forget them soon "
"339",339,"		as they stop hurting."
"340",340,"				CAROLINE"
"341",341,"		You got aspirins? I have something... "
"342",342,"		not aspirins, but"
"343",343,"			(cheerfully takes "
"344",344,"			bottle of pills out "
"345",345,"			of desk drawer)"
"346",346,"		my mother's doctor gave these to me "
"347",347,"		the day of my wedding."
"348",348,"			(laughs)"
"349",349,"		Teddy was furious when he found out "
"350",350,"		I'd taken tranquilizers!"
"351",351,"	She rises, starts for Mary's desk, pills in hand."
"352",352,"				MARY"
"353",353,"		Were there any calls?"
"354",354,"				CAROLINE"
"355",355,"		Teddy called.  Me... And my mother "
"356",356,"		called to see if Teddy called. Oh, "
"357",357,"		and your sister called to say she's "
"358",358,"		going to Tucson to do some buying "
"359",359,"		and she'll be gone the whole weekend "
"360",360,"		and..."
"361",361,"	She breaks off, distracted by the SOUND of the door opening. "
"362",362,"	MR. LOWERY and his oil-lease client, TOM CASSIDY enter the "
"363",363,"	office. Lowery is a pleasant, worried-faced man, big and a "
"364",364,"	trifle pompous. Cassidy is very faced loud and has a lunch-"
"365",365,"	hour load on. He is a gross man, exuding a kind of pitiful "
"366",366,"	vulgarity."
"367",367,"				CASSIDY"
"368",368,"		Wow! Hot as fresh milk! You girls "
"369",369,"		should get your boss to air-condition "
"370",370,"		you up. He can afford it today."
"371",371,"	Lowery flashes an embarrassed smile at Mary, tries to lead "
"372",372,"	Cassidy toward the private office."
"373",373,"				LOWERY"
"374",374,"		Mary, will you get those copies of "
"375",375,"		the deed ready for Mr. Cassidy."
"376",376,"	Cassidy pauses beside Mary's desk, hooks a haunch onto the "
"377",377,"	desktop, smiles a wet smile at Mary."
"378",378,"				CASSIDY"
"379",379,"		Tomorrow's the day! My sweet little "
"380",380,"		girl..."
"381",381,"			(laughs as Mary looks "
"382",382,"			up at him)"
"383",383,"		Not you, my daughter!  A baby, and "
"384",384,"		tomorrow she stands up there and "
"385",385,"		gets her sweet self married away "
"386",386,"		from me!"
"387",387,"			(pulling out wallet)"
"388",388,"		I want you to look at my baby.  "
"389",389,"		Eighteen years old... and she's never "
"390",390,"		had an unhappy day in any one of "
"391",391,"		those years!"
"392",392,"			(flashes photo)"
"393",393,"	Mary glances, cannot bring herself to smile or make some "
"394",394,"	remark, continues sorting out the deed copies, tries to ignore "
"395",395,"	the man's hot-breath closeness."
"396",396,"				LOWERY"
"397",397,"		Come on, Tom, my office is air-"
"398",398,"		conditioned."
"399",399,"				CASSIDY"
"400",400,"			(ignoring Lowery)"
"401",401,"		You know what I do with unhappiness? "
"402",402,"		I buy it off! You unhappy?"
"403",403,"				MARY"
"404",404,"		Not inordinately."
"405",405,"			(puts deed copy into "
"406",406,"			Cassidy's too-close "
"407",407,"			hand)"
"408",408,"				CASSIDY"
"409",409,"		I'm buying this house for my baby's "
"410",410,"		wedding present. Forty thousand "
"411",411,"		dollars, cash! Now that ain't buying "
"412",412,"		happiness, that's buying off "
"413",413,"		unhappiness! That penniless punk "
"414",414,"		she's marryin'..."
"415",415,"			(laughs)"
"416",416,"		Probably a good kid... it's just "
"417",417,"		that I hate him."
"418",418,"			(looks at deed)"
"419",419,"		Yup! Forty thousand, says here..."
"420",420,"			(to Lowery)"
"421",421,"		Casharoonie!"
"422",422,"	He takes out of his inside pocket, two separate bundles of "
"423",423,"	new $100 bills and throws them onto the desk, under Mary's "
"424",424,"	nose. Caroline's eyes go wide at the sight of the glorious "
"425",425,"	green bundles of bills, and she comes close to the desk. "
"426",426,"	Cassidy leans terribly close to Mary, flicks through the "
"427",427,"	bills, laughs wickedly."
"428",428,"				CASSIDY"
"429",429,"		I never carry more than I can afford "
"430",430,"		to lose!"
"431",431,"			(closer to Mary)"
"432",432,"		Count 'em!"
"433",433,"				LOWERY"
"434",434,"			(shocked, worried)"
"435",435,"		Tom... cash transactions of this "
"436",436,"		size! Most irregular..."
"437",437,"				CASSIDY"
"438",438,"		So what? It's my private money!"
"439",439,"			(laughs, winks, elbows "
"440",440,"			Lowery)"
"441",441,"		And now it's yours."
"442",442,"				CAROLINE"
"443",443,"			(staring at the money)"
"444",444,"		I declare!"
"445",445,"				CASSIDY"
"446",446,"			(whispering)"
"447",447,"		I don't! That's how I'm able to keep "
"448",448,"		it!"
"449",449,"			(laughs)"
"450",450,"				LOWERY"
"451",451,"			(hastily interrupting)"
"452",452,"		Suppose we just put this in the safe "
"453",453,"		and then Monday morning when you're "
"454",454,"		feeling good..."
"455",455,"				CASSIDY"
"456",456,"		Speakin' of feeling good, where's "
"457",457,"		that bottle you said you had in your "
"458",458,"		desk..."
"459",459,"			(laughs, as if having "
"460",460,"			given away Lowery's "
"461",461,"			secret)"
"462",462,"		Oops!"
"463",463,"			(to Mary, patting her "
"464",464,"			arm)"
"465",465,"		Usually I can keep my mouth shut!"
"466",466,"	He rises, reels toward Lowery's office, pauses, turns, speaks "
"467",467,"	to Mary, meaningfully."
"468",468,"				CASSIDY"
"469",469,"		Honest. I can keep any private "
"470",470,"		transaction a secret... any pri...."
"471",471,"			(stopped by Mary's "
"472",472,"			cold gaze)"
"473",473,"		Lowery! I'm dyin' of thirstaroonie!"
"474",474,"	Lowery starts after him, pauses, turns to Mary. Cassidy has "
"475",475,"	gone into Lower's office."
"476",476,"				LOWERY"
"477",477,"			(quietly)"
"478",478,"		I don't even want it in the office "
"479",479,"		over the weekend. Put it in the safe "
"480",480,"		deposit box, at the bank, Mary. And "
"481",481,"		we'll get him to give us a check on "
"482",482,"		Monday - instead."
"483",483,"	He starts quickly away when it looks like Cassidy is going "
"484",484,"	to come and pull him bodily into the office. When the men "
"485",485,"	are gone and the door is closed, Caroline picks up a bundle, "
"486",486,"	smiles at it."
"487",487,"				CAROLINE"
"488",488,"		He was flirting with you. I guess he "
"489",489,"		noticed my wedding ring."
"490",490,"	Mary has put one bundle into a large envelope and takes the "
"491",491,"	other from Caroline. When the bills are away, she puts the "
"492",492,"	filled envelope in her handbag, notices the remaining deed "
"493",493,"	copies on her desk, picks them up, goes to the private office "
"494",494,"	door, knocks, starts to open door as:"
"495",495,"				LOWERY (O.S.)"
"496",496,"		Come in."
"497",497,"	"
"498",498," LOWERY'S PRIVATE OFFICE - (DAY)"
"499",499,"	Mary opens door, looks in. Cassidy is drinking from a large "
"500",500,"	tumbler, winks at her without pausing in his drinking. Mary "
"501",501,"	remains on threshold a moment, then crosses to the desk, "
"502",502,"	talking as she goes."
"503",503,"				MARY"
"504",504,"		The copies. Mr. Lowery, if you don't "
"505",505,"		mind, I'd like to go right on home "
"506",506,"		after the bank. I have a slight..."
"507",507,"				CASSIDY"
"508",508,"		You go right home!  Me and your boss "
"509",509,"		are going out to get ourselves a "
"510",510,"		little drinkin' done!"
"511",511,"			(to Lowery)"
"512",512,"		Right?"
"513",513,"				LOWERY"
"514",514,"			(to Mary)"
"515",515,"		Of course. You feeling ill?"
"516",516,"				MARY"
"517",517,"		A headache."
"518",518,"				CASSIDY"
"519",519,"		You need a week-end in Las Vegas... "
"520",520,"		playground of the world!"
"521",521,"				MARY"
"522",522,"		I'm going to spend this week-end in "
"523",523,"		bed."
"524",524,"			(starts out)"
"525",525,"				CASSIDY"
"526",526,"			(to Lowery)"
"527",527,"		Only playground that beats Las Vegas!"
"528",528,"	Mary goes back out into the outer office, closes door."
"529",529,"	"
"530",530," OUTER OFFICE - (DAY)"
"531",531,"	Mary goes to her desk, takes the handbag, checks to make "
"532",532,"	sure the money-filled envelope is tucked well down into it. "
"533",533,"	During this:"
"534",534,"				CAROLINE"
"535",535,"		Aren't you going to take the pills?"
"536",536,"			(as Mary shakes her "
"537",537,"			head)"
"538",538,"		They'll knock that headache out."
"539",539,"				MARY"
"540",540,"		I don't need pills... just sleep."
"541",541,"	She goes to the door."
"542",542,"							 DISSOLVE:"
"543",543,"	"
"544",544," MARY'S BEDROOM - (DAY)"
"545",545,"	A double bed in the foreground. We just see the far side as "
"546",546,"	the CAMERA SHOOTS across. Mary enters the scene, clad only "
"547",547,"	in her slip. Perhaps she is about to get into bed. Behind "
"548",548,"	her is an open closet, but too dark inside for us to see any "
"549",549,"	contents. As Mary turns to the closet the CAMERA LOWERS to "
"550",550,"	show a close view of the $40,000 in the envelope on our side "
"551",551,"	of the bed."
"552",552,"	Mary takes a dress from the closet and starts to put it on "
"553",553,"	as the CAMERA RETREATS to reveal a packed but not yet closed "
"554",554,"	suitcase also on the bed. Mary zips up her dress and then "
"555",555,"	brings some final garments from the closet."
"556",556,"	She comes around to the suitcase and puts them on the top. "
"557",557,"	Mary works with haste and in tension, as if acting on an "
"558",558,"	impulse which might vanish as quickly as it came."
"559",559,"	The suitcase filled now, she checks around the room, then "
"560",560,"	takes her handbag to the bed, puts in the money-filled "
"561",561,"	envelope, and then slams the suitcase shut. Then filled she "
"562",562,"	looks at her small bedroom desk, goes to it, removes a small "
"563",563,"	file-envelope from one of the drawers. It is one of those "
"564",564,"	brown envelopes in which one keeps important papers and "
"565",565,"	policies and certificates. She checks its contents briefly, "
"566",566,"	puts it on the bed, opens another desk drawer, takes out her "
"567",567,"	bank book, tosses it on the bed. Then she packs both the "
"568",568,"	file-envelope and the bank book, into her handbag, takes one "
"569",569,"	quick last look around the room, picks up the handbag and "
"570",570,"	the suitcase and goes out of the room."
"571",571,"							 "
"572",572,"	"
"573",573," MARY'S GARAGE - (DAY)"
"574",574,"	A two-car garage. One car is gone. Mary's car is parked in "
"575",575,"	the driveway. The CAMERA is low enough so that we can easily "
"576",576,"	read the Arizona number plate in the foreground."
"577",577,"	Mary comes out of house, starts for the trunk, intending to "
"578",578,"	put the suitcase in, changes her mind, places the suitcase "
"579",579,"	and her handbag on the front seat, gets in, starts the car, "
"580",580,"	begins to back out of driveway."
"581",581,"						 DISSOLVE TO:"
"582",582,"	"
"583",583," MAIN STREET IN MIDTOWN PHOENIX - (DAY)"
"584",584,"	We are close on Mary's car, shooting in at her troubled, "
"585",585,"	guilty face. She seems to be driving with that excess care "
"586",586,"	of one who does not wish to be stopped for a minor traffic "
"587",587,"	irregularity. She stops for a red light at a main "
"588",588,"	intersection."
"589",589,"	FROM MARY'S VIEWPO"
"590",590,"- (DAY)"
"591",591,"	We see Lowery and Cassidy crossing the street, passing right "
"592",592,"	in front of Mary's car."
"593",593,"	MARY'S CAR - (DAY)"
"594",594,"	Mary freezes."
"595",595,"	"
"596",596," MAIN STREET IN MIDTOWN PHOENIX - (DAY)"
"597",597,"	Cassidy, glancing into car, sees Mary, lets out a cheery "
"598",598,"	exclamation, elbows Lowery. Lowery turns, sees Mary, smiles "
"599",599,"	pleasantly, pulls Cassidy on."
"600",600,"	MARY'S CAR - (DAY)"
"601",601,"	Mary watches the entire exchange with a look of stony horror "
"602",602,"	on her face."
"603",603,"	"
"604",604," MAIN STREET IN MIDTOWN PHOENIX - (DAY)"
"605",605,"	Now we look closely at Lowery. As he reaches the curb, a "
"606",606,"	small confusion brightens his face. He remembers that Mary "
"607",607,"	intended to \""spend the weekend in bed.\"" He considers, "
"608",608,"	curiously, turns, looks back at her, a slight frown on his "
"609",609,"	face."
"610",610,"	MARY'S CAR - (DAY)"
"611",611,"	Mary sees the pause and the look."
"612",612,"	"
"613",613," MAIN STREET IN MIDTOWN PHOENIX - (DAY)"
"614",614,"	For a moment it even looks as if Lowery might be meaning to "
"615",615,"	cross back to the car."
"616",616,"	MARY'S CAR - (DAY)"
"617",617,"	Mary's tension is unbearable. And at that moment we hear the "
"618",618,"	shrill shriek of the traffic cop's whistle."
"619",619,"	Mary zooms the car away."
"620",620,"						 DISSOLVE TO:"
"621",621,"	"
"622",622," HIGHWAY - (DAY)"
"623",623,"	Mary in car, driving, safely away from town. Her look is "
"624",624,"	less tense now, and more purposeful. After a moment, she "
"625",625,"	checks the fuel gauge, frowns, looks along highway for a gas "
"626",626,"	station."
"627",627,"								 FAST DISSOLVE TO:"
"628",628,"	MARY'S CAR - (DAY)"
"629",629,"	Approaching and leaving city limits."
"630",630,"	MARY - (DAY)"
"631",631,"	Looks at gas gauge."
"632",632,"	C.U. GAS GAUGE - (DAY)"
"633",633,"	"
"634",634," A GAS STATION - (DAY)"
"635",635,"	We see Mary's car drive in, come to a stop. There are no "
"636",636,"	other cars about, this being a gas station off the main "
"637",637,"	highway, and the attendant is obviously in the shack. Mary "
"638",638,"	looks worried about having to make this stop, keeps her face "
"639",639,"	turned away from the shack, not wishing it to be seen."
"640",640,"	No one comes and for a moment Mary considers driving on, as "
"641",641,"	if the emptiness of the station were a warning, an omen that "
"642",642,"	she should listen to. But the gas registers almost empty. "
"643",643,"	She has to blow her horn."
"644",644,"	A YOUNG MAN comes out of the shack, starts toward her car."
"645",645,"	At that moment, we HEAR the RINGING of the TELEPHONE in the "
"646",646,"	shack. The Attendant walks a few steps further, toward Mary's "
"647",647,"	car, then decides to go back and answer the phone. The phone's "
"648",648,"	insistent ringing unnerves Mary."
"649",649,"	She starts her car, zooms off."
"650",650,"	We see the Attendant, phone in hand, in the doorway of shack. "
"651",651,"	He looks after the departing car with little or no expression."
"652",652,"	CAR"
"653",653,"	The car grows smaller as it races up the road. The sun is "
"654",654,"	setting. There is something vaguely ominous about the "
"655",655,"	darkening sky into which the car seems to be disappearing."
"656",656,"						 DISSOLVE TO:"
"657",657,"	MARY IN CAR - (NIGHT)"
"658",658,"	The oncoming headlights hurt Mary's eyes. She is getting "
"659",659,"	sleepy and her vision is blurring. Her eyes close, "
"660",660,"	involuntarily, snap open again. She stretches than wide, as "
"661",661,"	if forcing them to stay open. The oncoming lights seem to "
"662",662,"	glare to a point beyond endurance. She murmurs \""Sam - Sam.\"""
"663",663,"								LONG LAP DISSOLVE:"
"664",664,"	"
"665",665," ROAD SHOULDER - (DAWN)"
"666",666,"	We see Mary's car, dim in the early dawn, tilted on the soft "
"667",667,"	shoulder of the road, looking somehow sad and pathetic, like "
"668",668,"	a child's thrown-away toy. And from this angle it would appear "
"669",669,"	that the car is empty."
"670",670,"	After a moment, during which there are no other vehicles "
"671",671,"	passing, we see, coming from the far distance, a HIGHWAY "
"672",672,"	PATROLMAN in a patrol car. He passes Mary's car, notes its "
"673",673,"	apparent emptiness, U-turns, comes back up behind the car. "
"674",674,"	He gets out and approaches the driver's side window."
"675",675,"	"
"676",676," MARY'S CAR - (DAWN)"
"677",677,"	The Patrolman looks down into the car."
"678",678,"	"
"679",679," CAR (DAWN) FROM HIS VIEWPOINT"
"680",680,"	Mary turns with a start, sits up, is startled and unnerved "
"681",681,"	by the sight of the Patrolman, and, as if by automatic reflex, "
"682",682,"	turns the ignition and presses down on the starter."
"683",683,"	"
"684",684," CAR (DAWN)"
